Kanton_Kurzname,Date,Anzahl_Gesuche_mit_Auszahlung
AG,2017,267
AG,2018,400
AG,2019,786
AG,2020,745
AG,2021,1036
AG,2022,2019
AI,2017,9
AI,2018,31
AI,2019,54
AI,2020,67
AI,2021,45
AI,2022,84
AR,2017,33
AR,2018,120
AR,2019,192
AR,2020,188
AR,2021,249
AR,2022,295
BE,2017,277
BE,2018,1133
BE,2019,1583
BE,2020,2933
BE,2021,4031
BE,2022,4043
BL,2017,185
BL,2018,417
BL,2019,569
BL,2020,849
BL,2021,1297
BL,2022,1648
BS,2017,100
BS,2018,220
BS,2019,312
BS,2020,524
BS,2021,529
BS,2022,552
CH,2010,5514
CH,2011,20547
CH,2012,15558
CH,2013,10648
CH,2014,11886
CH,2015,8219
CH,2016,7703
CH,2017,9365
CH,2018,11956
CH,2019,15159
CH,2020,18424
CH,2021,24194
CH,2022,28533
FR,2017,167
FR,2018,590
FR,2019,812
FR,2020,1054
FR,2021,1242
FR,2022,1810
GE,2017,120
GE,2018,199
GE,2019,420
GE,2020,381
GE,2021,475
GE,2022,534
GL,2017,20
GL,2018,87
GL,2019,149
GL,2020,194
GL,2021,207
GL,2022,230
GR,2017,186
GR,2018,545
GR,2019,721
GR,2020,869
GR,2021,946
GR,2022,1120
JU,2017,90
JU,2018,139
JU,2019,223
JU,2020,230
JU,2021,323
JU,2022,384
LU,2017,145
LU,2018,344
LU,2019,574
LU,2020,1013
LU,2021,1091
LU,2022,1166
NE,2017,93
NE,2018,287
NE,2019,363
NE,2020,467
NE,2021,586
NE,2022,616
NW,2017,13
NW,2018,77
NW,2019,92
NW,2020,112
NW,2021,163
NW,2022,97
OW,2017,32
OW,2018,58
OW,2019,101
OW,2020,97
OW,2021,94
OW,2022,101
SG,2017,273
SG,2018,893
SG,2019,1158
SG,2020,1524
SG,2021,1752
SG,2022,1757
SH,2017,31
SH,2018,134
SH,2019,201
SH,2020,244
SH,2021,360
SH,2022,449
SO,2017,111
SO,2018,408
SO,2019,475
SO,2020,579
SO,2021,1057
SO,2022,1119
SZ,2017,62
SZ,2018,167
SZ,2019,237
SZ,2020,280
SZ,2021,316
SZ,2022,470
TG,2017,160
TG,2018,541
TG,2019,727
TG,2020,797
TG,2021,1141
TG,2022,1365
TI,2017,148
TI,2018,542
TI,2019,783
TI,2020,899
TI,2021,1116
TI,2022,1435
UR,2017,37
UR,2018,93
UR,2019,92
UR,2020,112
UR,2021,129
UR,2022,147
VD,2017,561
VD,2018,809
VD,2019,1673
VD,2020,1694
VD,2021,2027
VD,2022,2151
VS,2017,158
VS,2018,568
VS,2019,807
VS,2020,976
VS,2021,1211
VS,2022,1277
ZG,2017,24
ZG,2018,82
ZG,2019,77
ZG,2020,83
ZG,2021,91
ZG,2022,104
ZH,2017,262
ZH,2018,965
ZH,2019,1400
ZH,2020,1513
ZH,2021,2680
ZH,2022,3560
